"","Date","Open","High","Low","Close","Volume","Adj.Close"
"1","2014-12-01",23.030001,23.219999,21.75,21.83,3723300,18.213463
"2","2014-11-03",22.68,23.35,22.299999,23.08,3080200,19.066404
"3","2014-10-01",21.25,23.440001,21.25,22.74,6066100,18.60808
"4","2014-09-02",23.68,23.719999,21.08,21.25,5242800,17.223352
"5","2014-08-01",23.15,23.66,23.059999,23.65,2707300,18.604795
"6","2014-07-01",23.360001,23.969999,22.57,23.120001,3498000,18.18786
"7","2014-06-02",23.75,24.059999,23.07,23.41,4037400,18.415995
"8","2014-05-01",22.700001,23.870001,22.440001,23.73,3853800,18.157038
"9","2014-04-01",21.43,23.030001,21.290001,22.709999,4700400,17.376583
"10","2014-03-03",22.200001,22.84,21.040001,21.49,5204900,16.4431
"11","2014-02-03",21.02,22.5,20.959999,22.290001,6505300,16.064909
"12","2014-01-02",19.34,21.120001,19.290001,20.950001,4900300,15.09914
"13","2013-12-02",20.27,20.33,18.84,19.290001,7361800,13.902741
"14","2013-11-01",21.84,21.99,19.85,20.379999,7445700,14.20928
"15","2013-10-01",22.459999,24.299999,21.32,21.709999,7387400,15.136579
"16","2013-09-03",22.629999,24.58,22.09,22.58,7471900,15.743158
"17","2013-08-01",22.629999,23.34,20.41,22.76,6822600,15.340583
"18","2013-07-01",23.02,23.34,20.200001,22.540001,8592000,15.1923
"19","2013-06-03",25.799999,26.43,22.219999,23.01,12753900,15.509087
"20","2013-05-01",33.299999,33.299999,25.01,25.799999,12228700,16.602898
"21","2013-04-01",32.779999,33.310001,31.059999,33.310001,4574500,21.435757
"22","2013-03-01",31.700001,33.279999,31.51,32.779999,8439800,21.094688
"23","2013-02-01",31.700001,32.919998,30.85,31.709999,8941100,19.635962
"24","2013-01-02",29.610001,32,29.4,31.620001,3673600,19.580231
"25","2012-12-03",31.610001,31.870001,28.559999,28.9,5882600,17.89591
"26","2012-11-01",33.02,33.18,28.08,31.549999,8000400,18.752899
"27","2012-10-01",34.779999,35.150002,29.629999,33,8986500,19.614761
"28","2012-09-04",34.889999,36.77,34.07,34.599998,7174600,20.565779
"29","2012-08-01",35.16,35.290001,30.299999,34.84,6665000,19.99729
"30","2012-07-02",33.669998,35.580002,33.41,35.139999,9778500,20.169481
"31","2012-06-01",32.529999,33.950001,32.060001,33.610001,7125900,19.291302
"32","2012-05-01",31.200001,32.740002,30.940001,32.669998,6960000,18.054361
"33","2012-04-02",29.67,31.24,29.6,31.24,4334700,17.264103
"34","2012-03-01",30.83,31.17,29.15,29.540001,9259300,16.324636
"35","2012-02-01",29.389999,30.91,29.049999,30.709999,6082100,16.290621
"36","2012-01-03",28.25,29.450001,28.08,29.33,4136700,15.558578
"37","2011-12-01",28.629999,29.209999,27.610001,28.08,4995400,14.895494
"38","2011-11-01",27.25,28.690001,27.07,28.690001,4350100,14.483349
"39","2011-10-03",26.99,28.9,22.84,27.51,7414100,13.887659
"40","2011-09-01",28.48,29.9,26.700001,27.1,6889900,13.680681
"41","2011-08-01",29.09,29.99,26.35,28.51,8284400,13.699106
"42","2011-07-01",29.16,30.34,22.030001,27.92,7124100,13.41561
"43","2011-06-01",30.360001,30.76,28.25,29.110001,7471100,13.987408
"44","2011-05-02",29.15,30.370001,29.07,30.370001,2101500,13.90727
"45","2011-04-01",29.059999,29.120001,27.700001,29.110001,2842400,13.330281
"46","2011-03-01",29.549999,30.68,28.02,29.139999,5892900,13.344018
"47","2011-02-01",28.709999,29.690001,28.620001,29.450001,2315700,12.870379
"48","2011-01-03",28.75,29.75,28.309999,28.690001,4722900,12.538241
"49","2010-12-01",29.49,29.99,27.700001,28.74,2452600,12.560092
"50","2010-11-01",28.67,29.49,28.200001,29.309999,1417600,12.202741
"51","2010-10-01",26.67,28.860001,26.6,28.639999,1489300,11.923797
"52","2010-09-01",27.440001,30.09,26.049999,26.57,2272300,11.061986
"53","2010-08-02",27.68,28.48,26.91,27.24,728100,10.798488
"54","2010-07-01",26.370001,28.34,25.370001,27.52,739100,10.909485
"55","2010-06-01",26.4,29.02,26.25,26.42,1107600,10.473423
"56","2010-05-03",27.57,27.98,24.059999,26.26,1261700,9.906923
"57","2010-04-01",25.6,28,25.6,27.51,503600,10.378502
"58","2010-03-01",25.68,28.49,25.4,25.6,887000,9.65793
"59","2010-02-01",27.02,27.5,23.610001,25.32,715900,9.069509
"60","2010-01-04",26.76,27.15,25.639999,26.690001,371900,9.560237
